text,text_lower,length,digit_count,alphabet_count,is_numeric,is_date,contains_currency,x,y,relative_x,relative_y,width,height,relative_width,relative_height,aspect_ratio,log_area,ocr_confidence,line_number,paragraph_number,block_number,previous_text,previous_x,previous_y,next_text,next_x,next_y,label,document,source
Butter,butter,6,0,6,0,0,0,141,266,0.14285714285714285,0.45315161839863716,31,9,0.031408308004052685,0.015332197614991482,3.4444444444444446,5.634789603169249,1.0,10,4,1,amul,109,266,500g,176,266,PRODUCT,invoice_0001.png,synthetic
500g,500g,4,3,1,0,0,0,176,266,0.17831813576494426,0.45315161839863716,24,12,0.0243161094224924,0.020442930153321975,2.0,5.666426688112432,1.0,10,4,1,butter,141,266,0.75,458,266,PRODUCT,invoice_0001.png,synthetic
0.75,0.75,4,3,0,1,0,1,458,266,0.46403242147923,0.45315161839863716,21,9,0.02127659574468085,0.015332197614991482,2.3333333333333335,5.247024072160486,1.0,10,4,1,500g,176,266,g,562,269,QUANTITY,invoice_0001.png,synthetic
g,g,1,0,1,0,0,0,562,269,0.569402228976697,0.45826235093696766,6,9,0.0060790273556231,0.015332197614991482,0.6666666666666666,4.007333185232471,1.0,10,4,1,0.75,458,266,rs. 111.50,666,266,UNIT,invoice_0001.png,synthetic
Rs. 111.50,rs. 111.50,10,5,2,0,0,1,666,266,0.6747720364741642,0.45315161839863716,51,9,0.05167173252279635,0.015332197614991482,5.666666666666667,6.131226489483141,1.0,10,4,1,g,562,269,₹83.62,770,266,UNIT_PRICE,invoice_0001.png,synthetic
₹83.62,₹83.62,6,4,0,1,0,1,770,266,0.7801418439716312,0.45315161839863716,33,9,0.03343465045592705,0.015332197614991482,3.6666666666666665,5.697093486505405,1.0,10,4,1,rs. 111.50,666,266,wheel,109,286,ITEM_TOTAL,invoice_0001.png,synthetic
Wheel,wheel,5,0,5,0,0,0,109,286,0.11043566362715299,0.48722316865417375,32,9,0.03242147922998987,0.015332197614991482,3.5555555555555554,5.666426688112432,1.0,11,4,1,₹83.62,770,266,detergent,145,286,PRODUCT,invoice_0001.png,synthetic
Detergent,detergent,9,0,9,0,0,0,145,286,0.1469098277608916,0.48722316865417375,48,12,0.0486322188449848,0.020442930153321975,4.0,6.3578422665081,1.0,11,4,1,wheel,109,286,500g,197,286,PRODUCT,invoice_0001.png,synthetic
500g,500g,4,3,1,0,0,0,197,286,0.19959473150962512,0.48722316865417375,24,12,0.0243161094224924,0.020442930153321975,2.0,5.666426688112432,1.0,11,4,1,detergent,145,286,3,458,286,PRODUCT,invoice_0001.png,synthetic
3,3,1,1,0,1,0,0,458,286,0.46403242147923,0.48722316865417375,6,9,0.0060790273556231,0.015332197614991482,0.6666666666666666,4.007333185232471,1.0,11,4,1,500g,197,286,kg,562,286,QUANTITY,invoice_0001.png,synthetic
kg,kg,2,0,2,0,0,0,562,286,0.569402228976697,0.48722316865417375,12,12,0.0121580547112462,0.020442930153321975,1.0,4.976733742420574,1.0,11,4,1,3,458,286,193.00,666,286,UNIT,invoice_0001.png,synthetic
193.00,193.00,6,5,0,1,0,1,666,286,0.6747720364741642,0.48722316865417375,33,9,0.03343465045592705,0.015332197614991482,3.6666666666666665,5.697093486505405,1.0,11,4,1,kg,562,286,₹579.00,770,286,UNIT_PRICE,invoice_0001.png,synthetic
₹579.00,₹579.00,7,5,0,1,0,1,770,286,0.7801418439716312,0.48722316865417375,39,9,0.03951367781155015,0.015332197614991482,4.333333333333333,5.863631175598097,1.0,11,4,1,193.00,666,286,dettol,109,306,ITEM_TOTAL,invoice_0001.png,synthetic
Dettol,dettol,6,0,6,0,0,0,109,306,0.11043566362715299,0.5212947189097104,31,9,0.031408308004052685,0.015332197614991482,3.4444444444444446,5.634789603169249,1.0,12,4,1,₹579.00,770,286,sanitizer,144,306,PRODUCT,invoice_0001.png,synthetic
Sanitizer,sanitizer,9,0,9,0,0,0,144,306,0.1458966565349544,0.5212947189097104,44,9,0.044579533941236066,0.015332197614991482,4.888888888888889,5.983936280687191,1.0,12,4,1,dettol,109,306,50ml,192,306,PRODUCT,invoice_0001.png,synthetic
50ml,50ml,4,2,2,0,0,0,192,306,0.1945288753799392,0.5212947189097104,25,9,0.025329280648429583,0.015332197614991482,2.7777777777777777,5.420534999272286,1.0,12,4,1,sanitizer,144,306,0.75,458,306,PRODUCT,invoice_0001.png,synthetic
0.75,0.75,4,3,0,1,0,1,458,306,0.46403242147923,0.5212947189097104,21,9,0.02127659574468085,0.015332197614991482,2.3333333333333335,5.247024072160486,1.0,12,4,1,50ml,192,306,ml,562,306,QUANTITY,invoice_0001.png,synthetic
ml,ml,2,0,2,0,0,0,562,306,0.569402228976697,0.5212947189097104,13,9,0.013171225937183385,0.015332197614991482,1.4444444444444444,4.770684624465665,1.0,12,4,1,0.75,458,306,rs. 404.50,666,306,UNIT,invoice_0001.png,synthetic
Rs. 404.50,rs. 404.50,10,5,2,0,0,1,666,306,0.6747720364741642,0.5212947189097104,52,9,0.05268490374873354,0.015332197614991482,5.777777777777778,6.150602768446279,1.0,12,4,1,ml,562,306,rs. 303.38,770,306,UNIT_PRICE,invoice_0001.png,synthetic
Rs. 303.38,rs. 303.38,10,5,2,0,0,1,770,306,0.7801418439716312,0.5212947189097104,52,9,0.05268490374873354,0.015332197614991482,5.777777777777778,6.150602768446279,1.0,12,4,1,rs. 404.50,666,306,colgate,109,326,ITEM_TOTAL,invoice_0001.png,synthetic
Colgate,colgate,7,0,7,0,0,0,109,326,0.11043566362715299,0.555366269165247,37,12,0.037487335359675786,0.020442930153321975,3.0833333333333335,6.09807428216624,1.0,13,4,1,rs. 303.38,770,306,maxfresh,150,326,PRODUCT,invoice_0001.png,synthetic
MaxFresh,maxfresh,8,0,8,0,0,0,150,326,0.1519756838905775,0.555366269165247,49,9,0.04964539007092199,0.015332197614991482,5.444444444444445,6.091309882077698,1.0,13,4,1,colgate,109,326,100g,203,326,PRODUCT,invoice_0001.png,synthetic
100g,100g,4,3,1,0,0,0,203,326,0.20567375886524822,0.555366269165247,24,12,0.0243161094224924,0.020442930153321975,2.0,5.666426688112432,1.0,13,4,1,maxfresh,150,326,5,458,326,PRODUCT,invoice_0001.png,synthetic
5,5,1,1,0,1,0,0,458,326,0.46403242147923,0.555366269165247,6,9,0.0060790273556231,0.015332197614991482,0.6666666666666666,4.007333185232471,1.0,13,4,1,100g,203,326,pack,561,326,QUANTITY,invoice_0001.png,synthetic
pack,pack,4,0,4,0,0,0,561,326,0.5683890577507599,0.555366269165247,25,12,0.025329280648429583,0.020442930153321975,2.0833333333333335,5.707110264748875,1.0,13,4,1,5,458,326,rs. 44.00,666,326,UNIT,invoice_0001.png,synthetic
Rs. 44.00,rs. 44.00,9,4,2,0,0,1,666,326,0.6747720364741642,0.555366269165247,46,9,0.04660587639311044,0.015332197614991482,5.111111111111111,6.028278520230698,1.0,13,4,1,pack,561,326,220,770,326,UNIT_PRICE,invoice_0001.png,synthetic
220,220,3,3,0,1,0,0,770,326,0.7801418439716312,0.555366269165247,18,9,0.0182370820668693,0.015332197614991482,2.0,5.093750200806762,1.0,13,4,1,rs. 44.00,666,326,sunfeast,109,346,ITEM_TOTAL,invoice_0001.png,synthetic
Sunfeast,sunfeast,8,0,8,0,0,0,109,346,0.11043566362715299,0.5894378194207837,42,9,0.0425531914893617,0.015332197614991482,4.666666666666667,5.937536205082426,1.0,14,4,1,220,770,326,dark,155,346,PRODUCT,invoice_0001.png,synthetic
Dark,dark,4,0,4,0,0,0,155,346,0.15704154002026344,0.5894378194207837,25,9,0.025329280648429583,0.015332197614991482,2.7777777777777777,5.420534999272286,1.0,14,4,1,sunfeast,109,346,fantasy,184,346,PRODUCT,invoice_0001.png,synthetic
Fantasy,fantasy,7,0,7,0,0,0,184,346,0.18642350557244175,0.5894378194207837,37,12,0.037487335359675786,0.020442930153321975,3.0833333333333335,6.09807428216624,1.0,14,4,1,dark,155,346,300g,225,346,PRODUCT,invoice_0001.png,synthetic
300g,300g,4,3,1,0,0,0,225,346,0.22796352583586627,0.5894378194207837,24,12,0.0243161094224924,0.020442930153321975,2.0,5.666426688112432,1.0,14,4,1,fantasy,184,346,0.5,458,346,PRODUCT,invoice_0001.png,synthetic
0.5,0.5,3,2,0,1,0,0,458,346,0.46403242147923,0.5894378194207837,15,9,0.015197568389057751,0.015332197614991482,1.6666666666666667,4.912654885736052,1.0,14,4,1,300g,225,346,l,562,346,QUANTITY,invoice_0001.png,synthetic
L,l,1,0,1,0,0,0,562,346,0.569402228976697,0.5894378194207837,8,9,0.008105369807497468,0.015332197614991482,0.8888888888888888,4.290459441148391,1.0,14,4,1,0.5,458,346,354,666,346,UNIT,invoice_0001.png,synthetic
354,354,3,3,0,1,0,0,666,346,0.6747720364741642,0.5894378194207837,18,9,0.0182370820668693,0.015332197614991482,2.0,5.093750200806762,1.0,14,4,1,l,562,346,177.00,770,346,UNIT_PRICE,invoice_0001.png,synthetic
177.00,177.00,6,5,0,1,0,1,770,346,0.7801418439716312,0.5894378194207837,33,9,0.03343465045592705,0.015332197614991482,3.6666666666666665,5.697093486505405,1.0,14,4,1,354,666,346,urad,109,366,ITEM_TOTAL,invoice_0001.png,synthetic
Urad,urad,4,0,4,0,0,0,109,366,0.11043566362715299,0.6235093696763203,25,9,0.025329280648429583,0.015332197614991482,2.7777777777777777,5.420534999272286,1.0,15,4,1,177.00,770,346,dal,138,366,PRODUCT,invoice_0001.png,synthetic
Dal,dal,3,0,3,0,0,0,138,366,0.1398176291793313,0.6235093696763203,18,9,0.0182370820668693,0.015332197614991482,2.0,5.093750200806762,1.0,15,4,1,urad,109,366,1kg,160,366,PRODUCT,invoice_0001.png,synthetic
1kg,1kg,3,1,2,0,0,0,160,366,0.16210739614994935,0.6235093696763203,18,12,0.0182370820668693,0.020442930153321975,1.5,5.37989735354046,1.0,15,4,1,dal,138,366,0.5,458,366,PRODUCT,invoice_0001.png,synthetic
0.5,0.5,3,2,0,1,0,0,458,366,0.46403242147923,0.6235093696763203,15,9,0.015197568389057751,0.015332197614991482,1.6666666666666667,4.912654885736052,1.0,15,4,1,1kg,160,366,ml,562,366,QUANTITY,invoice_0001.png,synthetic
ml,ml,2,0,2,0,0,0,562,366,0.569402228976697,0.6235093696763203,13,9,0.013171225937183385,0.015332197614991482,1.4444444444444444,4.770684624465665,1.0,15,4,1,0.5,458,366,492.50,666,366,UNIT,invoice_0001.png,synthetic
492.50,492.50,6,5,0,1,0,1,666,366,0.6747720364741642,0.6235093696763203,33,9,0.03343465045592705,0.015332197614991482,3.6666666666666665,5.697093486505405,1.0,15,4,1,ml,562,366,rs. 246.25,770,366,UNIT_PRICE,invoice_0001.png,synthetic
Rs. 246.25,rs. 246.25,10,5,2,0,0,1,770,366,0.7801418439716312,0.6235093696763203,52,9,0.05268490374873354,0.015332197614991482,5.777777777777778,6.150602768446279,1.0,15,4,1,492.50,666,366,kurkure,109,386,ITEM_TOTAL,invoice_0001.png,synthetic
Kurkure,kurkure,7,0,7,0,0,0,109,386,0.11043566362715299,0.6575809199318569,40,9,0.040526849037487336,0.015332197614991482,4.444444444444445,5.8888779583328805,1.0,16,4,1,rs. 246.25,770,366,masala,153,386,PRODUCT,invoice_0001.png,synthetic
Masala,masala,6,0,6,0,0,0,153,386,0.15501519756838905,0.6575809199318569,35,9,0.03546099290780142,0.015332197614991482,3.888888888888889,5.755742213586912,1.0,16,4,1,kurkure,109,386,munch,192,386,PRODUCT,invoice_0001.png,synthetic
Munch,munch,5,0,5,0,0,0,192,386,0.1945288753799392,0.6575809199318569,34,9,0.034447821681864235,0.015332197614991482,3.7777777777777777,5.726847747587197,1.0,16,4,1,masala,153,386,65g,230,386,PRODUCT,invoice_0001.png,synthetic
65g,65g,3,2,1,0,0,0,230,386,0.23302938196555217,0.6575809199318569,18,12,0.0182370820668693,0.020442930153321975,1.5,5.37989735354046,1.0,16,4,1,munch,192,386,2,458,386,PRODUCT,invoice_0001.png,synthetic
2,2,1,1,0,1,0,0,458,386,0.46403242147923,0.6575809199318569,6,9,0.0060790273556231,0.015332197614991482,0.6666666666666666,4.007333185232471,1.0,16,4,1,65g,230,386,pack,561,386,QUANTITY,invoice_0001.png,synthetic
pack,pack,4,0,4,0,0,0,561,386,0.5683890577507599,0.6575809199318569,25,12,0.025329280648429583,0.020442930153321975,2.0833333333333335,5.707110264748875,1.0,16,4,1,2,458,386,rs. 142.50,666,386,UNIT,invoice_0001.png,synthetic
Rs. 142.50,rs. 142.50,10,5,2,0,0,1,666,386,0.6747720364741642,0.6575809199318569,52,9,0.05268490374873354,0.015332197614991482,5.777777777777778,6.150602768446279,1.0,16,4,1,pack,561,386,₹285.00,770,386,UNIT_PRICE,invoice_0001.png,synthetic
₹285.00,₹285.00,7,5,0,1,0,1,770,386,0.7801418439716312,0.6575809199318569,39,9,0.03951367781155015,0.015332197614991482,4.333333333333333,5.863631175598097,1.0,16,4,1,rs. 142.50,666,386,dove,109,406,ITEM_TOTAL,invoice_0001.png,synthetic
Dove,dove,4,0,4,0,0,0,109,406,0.11043566362715299,0.6916524701873935,26,9,0.02634245187436677,0.015332197614991482,2.888888888888889,5.459585514144159,1.0,17,4,1,₹285.00,770,386,shampoo,139,406,PRODUCT,invoice_0001.png,synthetic
Shampoo,shampoo,7,0,7,0,0,0,139,406,0.1408308004052685,0.6916524701873935,45,12,0.04559270516717325,0.020442930153321975,3.75,6.293419278846481,1.0,17,4,1,dove,109,406,180ml,188,406,PRODUCT,invoice_0001.png,synthetic
180ml,180ml,5,3,2,0,0,0,188,406,0.19047619047619047,0.6916524701873935,31,9,0.031408308004052685,0.015332197614991482,3.4444444444444446,5.634789603169249,1.0,17,4,1,shampoo,139,406,3,458,406,PRODUCT,invoice_0001.png,synthetic
3,3,1,1,0,1,0,0,458,406,0.46403242147923,0.6916524701873935,6,9,0.0060790273556231,0.015332197614991482,0.6666666666666666,4.007333185232471,1.0,17,4,1,180ml,188,406,g,562,409,QUANTITY,invoice_0001.png,synthetic
g,g,1,0,1,0,0,0,562,409,0.569402228976697,0.696763202725724,6,9,0.0060790273556231,0.015332197614991482,0.6666666666666666,4.007333185232471,1.0,17,4,1,3,458,406,188,666,406,UNIT,invoice_0001.png,synthetic
188,188,3,3,0,1,0,0,666,406,0.6747720364741642,0.6916524701873935,18,9,0.0182370820668693,0.015332197614991482,2.0,5.093750200806762,1.0,17,4,1,g,562,409,564.00,770,406,UNIT_PRICE,invoice_0001.png,synthetic
564.00,564.00,6,5,0,1,0,1,770,406,0.7801418439716312,0.6916524701873935,33,9,0.03343465045592705,0.015332197614991482,3.6666666666666665,5.697093486505405,1.0,17,4,1,188,666,406,subtotal:,493,434,ITEM_TOTAL,invoice_0001.png,synthetic
Subtotal:,subtotal:,9,0,8,0,0,0,493,434,0.49949341438703143,0.7393526405451448,43,9,0.04356636271529889,0.015332197614991482,4.777777777777778,5.961005339623274,1.0,18,5,1,564.00,770,406,3159.25,830,434,O,invoice_0001.png,synthetic
3159.25,3159.25,7,6,0,1,0,1,830,434,0.8409321175278622,0.7393526405451448,39,9,0.03951367781155015,0.015332197614991482,4.333333333333333,5.863631175598097,1.0,18,5,1,subtotal:,493,434,discount (5%):,493,447,SUBTOTAL,invoice_0001.png,synthetic
Discount (5%):,discount (5%):,14,1,8,0,0,0,493,447,0.49949341438703143,0.7614991482112436,74,11,0.07497467071935157,0.018739352640545145,6.7272727272727275,6.703188113240863,1.0,19,5,1,3159.25,830,434,157.96,830,447,O,invoice_0001.png,synthetic
157.96,157.96,6,5,0,1,0,1,830,447,0.8409321175278622,0.7614991482112436,33,9,0.03343465045592705,0.015332197614991482,3.6666666666666665,5.697093486505405,1.0,19,5,1,discount (5%):,493,447,total:,493,466,DISCOUNT,invoice_0001.png,synthetic
Total:,total:,6,0,5,0,0,0,493,466,0.49949341438703143,0.7938671209540034,28,9,0.028368794326241134,0.015332197614991482,3.111111111111111,5.53338948872752,1.0,20,5,1,157.96,830,447,3001.29,830,466,O,invoice_0001.png,synthetic
3001.29,3001.29,7,6,0,1,0,1,830,466,0.8409321175278622,0.7938671209540034,39,9,0.03951367781155015,0.015332197614991482,4.333333333333333,5.863631175598097,1.0,20,5,1,total:,493,466,cash paid:,493,479,TOTAL,invoice_0001.png,synthetic
Cash Paid:,cash paid:,10,0,8,0,0,0,493,479,0.49949341438703143,0.8160136286201022,52,9,0.05268490374873354,0.015332197614991482,5.777777777777778,6.150602768446279,1.0,21,5,1,3001.29,830,466,rs. 0.00,830,479,O,invoice_0001.png,synthetic
Rs. 0.00,rs. 0.00,8,3,2,0,0,1,830,479,0.8409321175278622,0.8160136286201022,40,9,0.040526849037487336,0.015332197614991482,4.444444444444445,5.8888779583328805,1.0,21,5,1,cash paid:,493,479,amount due:,493,492,PAID,invoice_0001.png,synthetic
Amount Due:,amount due:,11,0,9,0,0,0,493,492,0.49949341438703143,0.838160136286201,66,9,0.0668693009118541,0.015332197614991482,7.333333333333333,6.38856140554563,1.0,22,5,1,rs. 0.00,830,479,3001.29,830,492,O,invoice_0001.png,synthetic
3001.29,3001.29,7,6,0,1,0,1,830,492,0.8409321175278622,0.838160136286201,39,9,0.03951367781155015,0.015332197614991482,4.333333333333333,5.863631175598097,1.0,22,5,1,amount due:,493,492,,0,0,DUE,invoice_0001.png,synthetic
TAX,tax,3,0,3,0,0,0,453,26,0.43142857142857144,0.052,43,14,0.040952380952380955,0.028,3.0714285714285716,6.401917196727186,1.0,1,1,1,,0,0,invoice,500,26,O,invoice_0002.png,synthetic
INVOICE,invoice,7,0,7,0,0,0,500,26,0.47619047619047616,0.052,94,14,0.08952380952380952,0.028,6.714285714285714,7.183111701743281,1.0,1,1,1,tax,453,26,balaji,63,54,O,invoice_0002.png,synthetic
Balaji,balaji,6,0,6,0,0,0,63,54,0.06,0.108,35,11,0.03333333333333333,0.022,3.1818181818181817,5.955837369464831,1.0,2,2,1,invoice,500,26,bhandar,102,54,SUPPLIER,invoice_0002.png,synthetic
Bhandar,bhandar,7,0,7,0,0,0,102,54,0.09714285714285714,0.108,52,9,0.049523809523809526,0.018,5.777777777777778,6.150602768446279,1.0,2,2,1,balaji,63,54,traders,158,54,SUPPLIER,invoice_0002.png,synthetic
Traders,traders,7,0,7,0,0,0,158,54,0.15047619047619049,0.108,48,9,0.045714285714285714,0.018,5.333333333333333,6.07073772800249,1.0,2,2,1,bhandar,102,54,"995,",63,78,SUPPLIER,invoice_0002.png,synthetic
"995,","995,",4,3,0,1,0,0,63,78,0.06,0.156,25,10,0.023809523809523808,0.02,2.5,5.5254529391317835,1.0,3,2,1,traders,158,54,mg,92,78,O,invoice_0002.png,synthetic
MG,mg,2,0,2,0,0,0,92,78,0.08761904761904762,0.156,18,8,0.017142857142857144,0.016,2.25,4.976733742420574,1.0,3,2,1,"995,",63,78,road,114,77,O,invoice_0002.png,synthetic
Road,road,4,0,4,0,0,0,114,77,0.10857142857142857,0.154,28,9,0.02666666666666667,0.018,3.111111111111111,5.53338948872752,1.0,3,2,1,mg,92,78,coimbatore,63,100,O,invoice_0002.png,synthetic
Coimbatore,coimbatore,10,0,10,0,0,0,63,100,0.06,0.2,64,9,0.06095238095238095,0.018,7.111111111111111,6.3578422665081,1.0,4,2,1,road,114,77,invoice no.:,533,54,O,invoice_0002.png,synthetic
Invoice No.:,invoice no.:,12,0,9,0,0,0,533,54,0.5076190476190476,0.108,68,9,0.06476190476190476,0.018,7.555555555555555,6.418364935936212,1.0,2,2,1,coimbatore,63,100,ret-400-8123,605,55,O,invoice_0002.png,synthetic
RET-400-8123,ret-400-8123,12,7,3,0,0,0,605,55,0.5761904761904761,0.11,89,8,0.08476190476190476,0.016,11.125,6.569481420414296,1.0,2,2,1,invoice no.:,533,54,date:,533,78,INVOICE_NUMBER,invoice_0002.png,synthetic
