text,text_lower,length,digit_count,alphabet_count,is_numeric,is_date,contains_currency,x,y,relative_x,relative_y,width,height,relative_width,relative_height,aspect_ratio,log_area,ocr_confidence,line_number,paragraph_number,block_number,previous_text,previous_x,previous_y,next_text,next_x,next_y,label,document
:,:,1,0,0,0,0,0,915,725,0.44677734375,0.35400390625,22,65,0.0107421875,0.03173828125,0.3384615384615385,7.266128779556451,0.88,2,1,3,dt,849,733,05/01/2020,964,738,O,invoice2_tokens.json
05/01/2020,05/01/2020,10,8,0,0,1,0,964,738,0.470703125,0.3603515625,226,48,0.1103515625,0.0234375,4.708333333333333,9.29182818882245,0.91,2,1,3,:,915,725,vou.,1217,749,DATE,invoice2_tokens.json
Vou.,vou.,4,0,3,0,0,0,1217,749,0.59423828125,0.36572265625,75,41,0.03662109375,0.02001953125,1.829268292682927,8.031385330625534,0.92,2,1,3,05/01/2020,964,738,:$007008-0231,1314,754,O,invoice2_tokens.json
:$007008-0231,:$007008-0231,13,10,0,0,0,1,1314,754,0.6416015625,0.3681640625,286,48,0.1396484375,0.0234375,5.958333333333333,9.527265662897603,0.01,2,1,3,vou.,1217,749,cashier,735,787,INVOICE_NUMBER,invoice2_tokens.json
Cashier,cashier,7,0,7,0,0,0,735,787,0.35888671875,0.38427734375,155,45,0.07568359375,0.02197265625,3.4444444444444446,8.850230965588816,0.92,3,1,3,:$007008-0231,1314,754,:,923,802,O,invoice2_tokens.json
:,:,1,0,0,0,0,0,923,802,0.45068359375,0.3916015625,6,25,0.0029296875,0.01220703125,0.24,5.017279836814924,0.87,3,1,3,cashier,735,787,aks/007796,961,797,O,invoice2_tokens.json
AKS/007796,aks/007796,10,6,3,0,0,0,961,797,0.46923828125,0.38916015625,226,47,0.1103515625,0.02294921875,4.808510638297872,9.270776740780011,0.92,3,1,3,:,923,802,mime,1284,809,O,invoice2_tokens.json
Mime,mime,4,0,4,0,0,0,1284,809,0.626953125,0.39501953125,86,78,0.0419921875,0.0380859375,1.1025641025641026,8.811205187562887,0.68,3,1,3,aks/007796,961,797,:,1403,823,O,invoice2_tokens.json
:,:,1,0,0,0,0,0,1403,823,0.68505859375,0.40185546875,5,22,0.00244140625,0.0107421875,0.2272727272727272,4.709530201312334,0.07,3,1,3,mime,1284,809,6:06pm,1466,817,O,invoice2_tokens.json
6:06PM,6:06pm,6,3,2,0,0,0,1466,817,0.7158203125,0.39892578125,134,43,0.0654296875,0.02099609375,3.116279069767442,8.659213451436667,0.66,3,1,3,:,1403,823,1,713,1014,O,invoice2_tokens.json
1,1,1,1,0,1,0,0,713,1014,0.34814453125,0.4951171875,11,38,0.00537109375,0.0185546875,0.2894736842105263,6.037870919922137,0.91,1,2,3,6:06pm,1466,817,cgst@,756,1015,O,invoice2_tokens.json
CGST@,cgst@,5,0,4,0,0,0,756,1015,0.369140625,0.49560546875,109,42,0.05322265625,0.0205078125,2.595238095238096,8.429235912657095,0.69,1,2,3,1,713,1014,2.50%,891,1020,O,invoice2_tokens.json
2.50%,2.50%,5,3,0,0,0,1,891,1020,0.43505859375,0.498046875,109,42,0.05322265625,0.0205078125,2.595238095238096,8.429235912657095,0.91,1,2,3,cgst@,756,1015,sgste,1025,1025,O,invoice2_tokens.json
sgsTe,sgste,5,0,5,0,0,0,1025,1025,0.50048828125,0.50048828125,108,42,0.052734375,0.0205078125,2.571428571428572,8.420021279663963,0.09,1,2,3,2.50%,891,1020,2.,1159,1031,O,invoice2_tokens.json
2.,2.,2,1,0,1,0,0,1159,1031,0.56591796875,0.50341796875,28,37,0.013671875,0.01806640625,0.7567567567567568,6.944087208229528,0.93,1,2,3,sgste,1025,1025,0%,1203,997,O,invoice2_tokens.json
0%,0%,2,1,0,0,0,0,1203,997,0.58740234375,0.48681640625,65,75,0.03173828125,0.03662109375,0.8666666666666667,8.492080490601163,0.32,1,2,3,2.,1159,1031,_,644,1117,O,invoice2_tokens.json
_,_,1,0,0,0,0,0,644,1117,0.314453125,0.54541015625,1,3,0.00048828125,0.00146484375,0.3333333333333333,1.3862943611198906,0.65,1,3,3,0%,1203,997,0902,711,1070,O,invoice2_tokens.json
0902,0902,4,4,0,1,0,0,711,1070,0.34716796875,0.5224609375,86,40,0.0419921875,0.01953125,2.15,8.14351740579748,0.82,1,3,3,_,644,1117,tea,823,1073,O,invoice2_tokens.json
TEA,tea,3,0,3,0,0,0,823,1073,0.40185546875,0.52392578125,63,39,0.03076171875,0.01904296875,1.6153846153846154,7.80710329012598,0.93,1,3,3,0902,711,1070,coun-259,912,1077,PRODUCT,invoice2_tokens.json
COUN-259,coun-259,8,3,4,0,0,0,912,1077,0.4453125,0.52587890625,174,47,0.0849609375,0.02294921875,3.702127659574468,9.009325172734972,0.64,1,3,3,tea,823,1073,69.,1268,1091,PRODUCT,invoice2_tokens.json
69.,69.,3,2,0,1,0,0,1268,1091,0.619140625,0.53271484375,51,38,0.02490234375,0.0185546875,1.3421052631578947,7.569927655242652,0.9,1,3,3,coun-259,912,1077,00,1340,1093,UNIT_PRICE,invoice2_tokens.json
00,00,2,2,0,1,0,0,1340,1093,0.654296875,0.53369140625,36,38,0.017578125,0.0185546875,0.9473684210526316,7.221835825288449,0.91,1,3,3,69.,1268,1091,69.,1490,1099,UNIT_PRICE,invoice2_tokens.json
69.,69.,3,2,0,1,0,0,1490,1099,0.7275390625,0.53662109375,109,39,0.05322265625,0.01904296875,2.7948717948717947,8.355144739461839,0.93,1,3,3,00,1340,1093,00,1560,1091,ITEM_TOTAL,invoice2_tokens.json
00,00,2,2,0,1,0,0,1560,1091,0.76171875,0.53271484375,43,56,0.02099609375,0.02734375,0.7678571428571429,7.786967002614872,0.94,1,3,3,69.,1490,1099,0910,685,1125,ITEM_TOTAL,invoice2_tokens.json
0910,0910,4,4,0,1,0,0,685,1125,0.33447265625,0.54931640625,111,47,0.05419921875,0.02294921875,2.3617021276595747,8.559869465696673,0.62,1,4,3,00,1560,1091,eastern-60g,822,1128,O,invoice2_tokens.json
EASTERN-60g,eastern-60g,11,2,8,0,0,0,822,1128,0.4013671875,0.55078125,240,50,0.1171875,0.0244140625,4.8,9.39274525863144,0.89,1,4,3,0910,685,1125,i,1157,1142,PRODUCT,invoice2_tokens.json
i,i,1,0,1,0,0,0,1157,1142,0.56494140625,0.5576171875,11,36,0.00537109375,0.017578125,0.3055555555555556,5.983936280687191,0.66,1,4,3,eastern-60g,822,1128,22.,1264,1145,QUANTITY,invoice2_tokens.json
22.,22.,3,2,0,1,0,0,1264,1145,0.6171875,0.55908203125,52,38,0.025390625,0.0185546875,1.368421052631579,7.589335823170617,0.81,1,4,3,i,1157,1142,50,1335,1148,UNIT_PRICE,invoice2_tokens.json
50,50,2,2,0,1,0,0,1335,1148,0.65185546875,0.560546875,37,37,0.01806640625,0.01806640625,1.0,7.222566018822171,0.91,1,4,3,22.,1264,1145,22.,1486,1153,UNIT_PRICE,invoice2_tokens.json
22.,22.,3,2,0,1,0,0,1486,1153,0.7255859375,0.56298828125,51,38,0.02490234375,0.0185546875,1.3421052631578947,7.569927655242652,0.9,1,4,3,50,1335,1148,50,1555,1156,ITEM_TOTAL,invoice2_tokens.json
50,50,2,2,0,1,0,0,1555,1156,0.75927734375,0.564453125,39,36,0.01904296875,0.017578125,1.0833333333333333,7.247792581767846,0.9,1,4,3,22.,1486,1153,smcgst@,660,1179,ITEM_TOTAL,invoice2_tokens.json
smCGST@,smcgst@,7,0,6,0,0,0,660,1179,0.322265625,0.57568359375,202,43,0.0986328125,0.02099609375,4.697674418604652,9.06958293425992,0.0,2,4,3,50,1555,1156,6.00%,888,1185,O,invoice2_tokens.json
6.00%,6.00%,5,3,0,0,0,1,888,1185,0.43359375,0.57861328125,108,41,0.052734375,0.02001953125,2.6341463414634148,8.395929103923198,0.93,2,4,3,smcgst@,660,1179,sgste@,1020,1190,O,invoice2_tokens.json
SGSTe@,sgste@,6,0,5,0,0,0,1020,1190,0.498046875,0.5810546875,107,41,0.05224609375,0.02001953125,2.609756097560976,8.38662882139512,0.47,2,4,3,6.00%,888,1185,6.,1152,1196,O,invoice2_tokens.json
6.,6.,2,1,0,1,0,0,1152,1196,0.5625,0.583984375,29,37,0.01416015625,0.01806640625,0.7837837837837838,6.97914527506881,0.95,2,4,3,sgste@,1020,1190,00%,1199,1197,O,invoice2_tokens.json
00%,00%,3,2,0,0,0,0,1199,1197,0.58544921875,0.58447265625,61,38,0.02978515625,0.0185546875,1.605263157894737,7.7488913372555315,0.96,2,4,3,6.,1152,1196,dabur,825,1238,O,invoice2_tokens.json
DABUR,dabur,5,0,5,0,0,0,825,1238,0.40283203125,0.6044921875,103,39,0.05029296875,0.01904296875,2.641025641025641,8.29853954537488,0.92,1,5,3,00%,1199,1197,pu-30g,952,1242,PRODUCT,invoice2_tokens.json
PU-30g,pu-30g,6,2,3,0,0,0,952,1242,0.46484375,0.6064453125,129,45,0.06298828125,0.02197265625,2.8666666666666667,8.666647144584575,0.91,1,5,3,dabur,825,1238,j,1152,1250,PRODUCT,invoice2_tokens.json
J,j,1,0,1,0,0,0,1152,1250,0.5625,0.6103515625,11,36,0.00537109375,0.017578125,0.3055555555555556,5.983936280687191,0.52,1,5,3,pu-30g,952,1242,39.,1259,1254,QUANTITY,invoice2_tokens.json
39.,39.,3,2,0,1,0,0,1259,1254,0.61474609375,0.6123046875,50,38,0.0244140625,0.0185546875,1.3157894736842106,7.550135342488429,0.91,1,5,3,j,1152,1250,06,1328,1256,UNIT_PRICE,invoice2_tokens.json
06,06,2,2,0,1,0,0,1328,1256,0.6484375,0.61328125,38,37,0.0185546875,0.01806640625,1.027027027027027,7.249215057114389,0.93,1,5,3,39.,1259,1254,39.,1480,1262,UNIT_PRICE,invoice2_tokens.json
39.,39.,3,2,0,1,0,0,1480,1262,0.72265625,0.6162109375,50,38,0.0244140625,0.0185546875,1.3157894736842106,7.550135342488429,0.94,1,5,3,06,1328,1256,06,1549,1265,ITEM_TOTAL,invoice2_tokens.json
06,06,2,2,0,1,0,0,1549,1265,0.75634765625,0.61767578125,38,37,0.0185546875,0.01806640625,1.027027027027027,7.249215057114389,0.95,1,5,3,39.,1480,1262,bs,782,1293,ITEM_TOTAL,invoice2_tokens.json
BS,bs,2,0,2,0,0,0,782,1293,0.3818359375,0.63134765625,2,2,0.0009765625,0.0009765625,1.0,1.6094379124341005,0.0,1,6,3,06,1549,1265,rack,833,1293,O,invoice2_tokens.json
RACK,rack,4,0,4,0,0,0,833,1293,0.40673828125,0.63134765625,93,38,0.04541015625,0.0185546875,2.4473684210526314,8.170468578330674,0.0,1,6,3,bs,782,1293,cr-25g,951,1296,O,invoice2_tokens.json
CR-25g,cr-25g,6,2,3,0,0,0,951,1296,0.46435546875,0.6328125,128,44,0.0625,0.021484375,2.909090909090909,8.636397438894713,0.63,1,6,3,rack,833,1293,=],1150,1304,O,invoice2_tokens.json
=],=],2,0,0,0,0,0,1150,1304,0.5615234375,0.63671875,11,34,0.00537109375,0.0166015625,0.3235294117647059,5.926926025970411,0.41,1,6,3,cr-25g,951,1296,75.,1259,1308,O,invoice2_tokens.json
75.,75.,3,2,0,1,0,0,1259,1308,0.61474609375,0.638671875,48,37,0.0234375,0.01806640625,1.2972972972972974,7.482681828154651,0.89,1,6,3,=],1150,1304,00,1327,1310,UNIT_PRICE,invoice2_tokens.json
00,00,2,2,0,1,0,0,1327,1310,0.64794921875,0.6396484375,36,37,0.017578125,0.01806640625,0.972972972972973,7.195187320178709,0.89,1,6,3,75.,1259,1308,75.,1479,1316,UNIT_PRICE,invoice2_tokens.json
75.,75.,3,2,0,1,0,0,1479,1316,0.72216796875,0.642578125,48,37,0.0234375,0.01806640625,1.2972972972972974,7.482681828154651,0.89,1,6,3,00,1327,1310,00,1548,1319,ITEM_TOTAL,invoice2_tokens.json
00,00,2,2,0,1,0,0,1548,1319,0.755859375,0.64404296875,36,37,0.017578125,0.01806640625,0.972972972972973,7.195187320178709,0.92,1,6,3,75.,1479,1316,p,850,1349,ITEM_TOTAL,invoice2_tokens.json
P,p,1,0,1,0,0,0,850,1349,0.4150390625,0.65869140625,8,29,0.00390625,0.01416015625,0.2758620689655172,5.4510384535657,0.51,1,1,4,00,1548,1319,9.00%,884,1347,O,invoice2_tokens.json
9.00%,9.00%,5,3,0,0,0,1,884,1347,0.431640625,0.65771484375,107,39,0.05224609375,0.01904296875,2.743589743589744,8.336630087637147,0.93,1,1,4,p,850,1349,sgst@,1015,1352,O,invoice2_tokens.json
SGST@,sgst@,5,0,4,0,0,0,1015,1352,0.49560546875,0.66015625,106,39,0.0517578125,0.01904296875,2.717948717948718,8.327242607457793,0.9,1,1,4,9.00%,884,1347,9.,1145,1357,O,invoice2_tokens.json
9.,9.,2,1,0,1,0,0,1145,1357,0.55908203125,0.66259765625,28,36,0.013671875,0.017578125,0.7777777777777778,6.9167150203536085,0.94,1,1,4,sgst@,1015,1352,00%,1189,1359,O,invoice2_tokens.json
00%,00%,3,2,0,0,0,0,1189,1359,0.58056640625,0.66357421875,63,37,0.03076171875,0.01806640625,1.7027027027027026,7.754481547470383,0.79,1,1,4,9.,1145,1357,mos,726,1423,O,invoice2_tokens.json
MOS,mos,3,0,3,0,0,0,726,1423,0.3544921875,0.69482421875,75,11,0.03662109375,0.00537109375,6.818181818181818,6.716594773520978,0.55,1,1,5,00%,1189,1359,ounfeast-1kg,862,1399,PRODUCT,invoice2_tokens.json
OUNFEAST-1kg,ounfeast-1kg,12,1,10,0,0,0,862,1399,0.4208984375,0.68310546875,213,47,0.10400390625,0.02294921875,4.531914893617022,9.211539652551664,0.55,1,1,5,mos,726,1423,2,1144,1410,PRODUCT,invoice2_tokens.json
2,2,1,1,0,1,0,0,1144,1410,0.55859375,0.6884765625,18,36,0.0087890625,0.017578125,0.5,6.47543271670409,0.84,1,1,5,ounfeast-1kg,862,1399,99.,1252,1415,QUANTITY,invoice2_tokens.json
99.,99.,3,2,0,1,0,0,1252,1415,0.611328125,0.69091796875,106,39,0.0517578125,0.01904296875,2.717948717948718,8.327242607457793,0.84,1,1,5,2,1144,1410,99,1319,1395,UNIT_PRICE,invoice2_tokens.json
99,99,2,2,0,1,0,0,1319,1395,0.64404296875,0.68115234375,43,64,0.02099609375,0.03125,0.671875,7.920446505142607,0.85,1,1,5,99.,1252,1415,198.,1452,1424,UNIT_PRICE,invoice2_tokens.json
198.,198.,4,3,0,1,0,0,1452,1424,0.708984375,0.6953125,125,40,0.06103515625,0.01953125,3.125,8.517393171418904,0.94,1,1,5,99,1319,1395,00,1539,1420,ITEM_TOTAL,invoice2_tokens.json
00,00,2,2,0,1,0,0,1539,1420,0.75146484375,0.693359375,40,58,0.01953125,0.0283203125,0.6896551724137931,7.749753406274437,0.96,1,1,5,198.,1452,1424,1905,710,1429,ITEM_TOTAL,invoice2_tokens.json
1905,1905,4,4,0,1,0,0,710,1429,0.3466796875,0.69775390625,83,55,0.04052734375,0.02685546875,1.509090909090909,8.42639282708974,0.96,2,1,5,00,1539,1420,monginis-40g,817,1450,O,invoice2_tokens.json
MONGINIS-40g,monginis-40g,12,2,9,0,0,0,817,1450,0.39892578125,0.7080078125,257,48,0.12548828125,0.0234375,5.354166666666667,9.420358156071464,0.8,2,1,5,1905,710,1429,2,1141,1463,PRODUCT,invoice2_tokens.json
2,2,1,1,0,1,0,0,1141,1463,0.55712890625,0.71435546875,19,36,0.00927734375,0.017578125,0.5277777777777778,6.529418838262226,0.84,2,1,5,monginis-40g,817,1450,7.00,1273,1469,QUANTITY,invoice2_tokens.json
7.00,7.00,4,3,0,1,0,1,1273,1469,0.62158203125,0.71728515625,82,38,0.0400390625,0.0185546875,2.1578947368421053,8.044626279767337,0.9,2,1,5,2,1141,1463,tax,1037,624,UNIT_PRICE,invoice2_tokens.json
TAX,tax,3,0,3,0,0,0,1037,624,0.50634765625,0.3046875,66,42,0.0322265625,0.0205078125,1.5714285714285714,7.927685045615778,0.95,1,1,6,7.00,1273,1469,invoice,1133,628,O,invoice2_tokens.json
INVOICE,invoice,7,0,7,0,0,0,1133,628,0.55322265625,0.306640625,153,46,0.07470703125,0.0224609375,3.3260869565217392,8.85922139360813,0.96,1,1,6,tax,1037,624,bill,736,671,O,invoice2_tokens.json
Bill,bill,4,0,4,0,0,0,736,671,0.359375,0.32763671875,80,43,0.0390625,0.02099609375,1.8604651162790695,8.14351740579748,0.95,2,1,6,invoice,1133,628,no,850,675,O,invoice2_tokens.json
No,no,2,0,2,0,0,0,850,675,0.4150390625,0.32958984375,81,42,0.03955078125,0.0205078125,1.9285714285714288,8.132412674500905,0.92,2,1,6,bill,736,671,:,920,667,O,invoice2_tokens.json
:,:,1,0,0,0,0,0,920,667,0.44921875,0.32568359375,19,73,0.00927734375,0.03564453125,0.2602739726027397,7.23561914106675,0.86,2,1,6,no,850,675,401401008-001492,964,681,O,invoice2_tokens.json
401401008-001492,401401008-001492,16,15,0,0,0,0,964,681,0.470703125,0.33251953125,368,53,0.1796875,0.02587890625,6.943396226415095,9.878426121940755,0.9,2,1,6,:,920,667,14.,1471,1478,INVOICE_NUMBER,invoice2_tokens.json
14.,14.,3,2,0,1,0,0,1471,1478,0.71826171875,0.7216796875,103,39,0.05029296875,0.01904296875,2.641025641025641,8.29853954537488,0.81,1,1,7,401401008-001492,964,681,00,1538,1474,O,invoice2_tokens.json
00,00,2,2,0,1,0,0,1538,1474,0.7509765625,0.7197265625,39,57,0.01904296875,0.02783203125,0.6842105263157895,7.707062655370473,0.96,1,1,7,14.,1471,1478,2104,708,1498,O,invoice2_tokens.json
2104,2104,4,4,0,1,0,0,708,1498,0.345703125,0.7314453125,84,38,0.041015625,0.0185546875,2.210526315789474,8.068716192714781,0.96,2,1,7,00,1538,1474,knorr,816,1502,O,invoice2_tokens.json
KNORR,knorr,5,0,5,0,0,0,816,1502,0.3984375,0.7333984375,105,39,0.05126953125,0.01904296875,2.6923076923076925,8.317766166719343,0.89,2,1,7,2104,708,1498,ma-12g,946,1507,PRODUCT,invoice2_tokens.json
MA-12g,ma-12g,6,2,3,0,0,0,946,1507,0.4619140625,0.73583984375,126,43,0.0615234375,0.02099609375,2.9302325581395348,8.597666575566114,0.89,2,1,7,knorr,816,1502,2,1139,1515,PRODUCT,invoice2_tokens.json
2,2,1,1,0,1,0,0,1139,1515,0.55615234375,0.73974609375,19,36,0.00927734375,0.017578125,0.5277777777777778,6.529418838262226,0.85,2,1,7,ma-12g,946,1507,9.,1269,1522,QUANTITY,invoice2_tokens.json
9.,9.,2,1,0,1,0,0,1269,1522,0.61962890625,0.7431640625,28,36,0.013671875,0.017578125,0.7777777777777778,6.9167150203536085,0.94,2,1,7,2,1139,1515,30,1317,1524,UNIT_PRICE,invoice2_tokens.json
30,30,2,2,0,1,0,0,1317,1524,0.64306640625,0.744140625,35,36,0.01708984375,0.017578125,0.9722222222222222,7.13966033596492,0.96,2,1,7,9.,1269,1522,18.,1468,1531,UNIT_PRICE,invoice2_tokens.json
18.,18.,3,2,0,1,0,0,1468,1531,0.716796875,0.74755859375,47,36,0.02294921875,0.017578125,1.3055555555555556,7.434257382133135,0.95,2,1,7,30,1317,1524,60,1535,1534,ITEM_TOTAL,invoice2_tokens.json
60,60,2,2,0,1,0,0,1535,1534,0.74951171875,0.7490234375,36,36,0.017578125,0.017578125,1.0,7.167809184316444,0.96,2,1,7,18.,1468,1531,3304,707,1550,ITEM_TOTAL,invoice2_tokens.json
3304,3304,4,4,0,1,0,0,707,1550,0.34521484375,0.7568359375,84,38,0.041015625,0.0185546875,2.210526315789474,8.068716192714781,0.9,3,1,7,60,1535,1534,johnso-500m],816,1554,O,invoice2_tokens.json
JOHNSO-500m],johnso-500m],12,3,7,0,0,0,816,1554,0.3984375,0.7587890625,247,44,0.12060546875,0.021484375,5.613636363636363,9.293669979563187,0.42,3,1,7,3304,707,1550,1,1140,1567,PRODUCT,invoice2_tokens.json
1,1,1,1,0,1,0,0,1140,1567,0.556640625,0.76513671875,11,34,0.00537109375,0.0166015625,0.3235294117647059,5.926926025970411,0.56,3,1,7,johnso-500m],816,1554,"175,00",1226,1572,QUANTITY,invoice2_tokens.json
"175,00","175,00",6,5,0,1,0,0,1226,1572,0.5986328125,0.767578125,124,40,0.060546875,0.01953125,3.1,8.509362612301048,0.76,3,1,7,1,1140,1567,175.,1444,1583,UNIT_PRICE,invoice2_tokens.json
175.,175.,4,3,0,1,0,0,1444,1583,0.705078125,0.77294921875,124,40,0.060546875,0.01953125,3.1,8.509362612301048,0.73,3,1,7,"175,00",1226,1572,00,1531,1568,ITEM_TOTAL,invoice2_tokens.json
